wl	I	dolp	aop	docp
421.6216216216216	0.0009397812779913696	0.0311841069356902	18.693729415658733	-0.9995136574727848
421.9219219219219	0.0009657925079754716	0.030925179432961414	2.1040426716371736	-0.9995217022541527
422.22222222222223	NaN	NaN	NaN	NaN
422.52252252252254	NaN	NaN	NaN	NaN
422.82282282282284	0.001036067878090364	0.11623733654603274	7.250860961289333	-0.993221466538397
423.12312312312315	0.0010632611367040155	0.11115015930892697	9.275892232222835	-0.9938036235019473
423.4234234234234	0.0011194184678124531	0.10222084125415157	31.239129896190104	-0.9947617300707208
423.7237237237237	0.0011410506873842426	0.10551529460501087	25.542262933584432	-0.9944176801547817
424.024024024024	0.001088509787830761	0.10634246343723339	27.849959489074198	-0.9943295633089165
424.3243243243243	NaN	NaN	NaN	NaN
